name	type	units	low_cutoff	high_cutoff	sampling_frequency	notch	resection	status_description	hemisphere	lobe	dataset
A1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A9	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A10	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A11	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A12	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A13	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A14	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A15	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A16	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A17	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A18	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A19	ECOG	µV	0.08	300	1000	not applied	resected	spiking	L	temporal	other
A20	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A21	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A22	ECOG	µV	0.08	300	1000	not applied	resected	artifact	L	temporal	unused
A23	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A24	ECOG	µV	0.08	300	1000	not applied	resected	seizure onset zone	L	temporal	trained
A25	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	temporal	unused
A26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A27	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A35	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	occipital	trained
A37	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	temporal	trained
A38	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
A39	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	frontal	unused
A40	ECOG	µV	0.08	300	1000	not applied	preserved	artifact	L	frontal	unused
A41	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A42	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A43	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A44	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A45	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A46	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A47	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
A48	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B1	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B2	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B3	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B4	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B5	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B6	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B7	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B8	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B9	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B10	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B11	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B12	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B13	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B14	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B15	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B16	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B17	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B18	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B19	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B20	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B21	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B22	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B23	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B24	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B25	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B26	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B27	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B28	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B29	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B30	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B31	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B32	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	parietal	trained
B33	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B34	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	frontal	trained
B35	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
B36	ECOG	µV	0.08	300	1000	not applied	preserved	normal	L	central	trained
